station,lat,long,zone,postcode,type
Abbey Road,51.53195199547294,0.0037233710983363487,3,E15 3NB,tube
Abbey Wood,51.49078429543708,0.12027197064065129,4,SE2 9RH,tube
Acton Central,51.508757351253415,-0.26343019532568895,2,W3 6BH,tube
Acton Main Line,51.516886495162936,-0.2676899480142479,3,W3 9EH,tube
Acton Town,51.50307098636339,-0.280302696832724,3,W3 8HN,tube
Addington Village,51.35623853949495,-0.03266510033206201,"3,4,5,6",CR0 5AR,tube
Addiscombe,51.37980817216768,-0.07321328251986768,"3,4,5,6",CR0 7AA,tube
Albany Park,51.435815816166325,0.1264446387204615,5,DA5 3HP,tube
Aldgate,51.5143422574978,-0.07562691232248626,1,EC3N 1AH,tube
Aldgate East,51.515081505698724,-0.07300146242073956,1,E1 7PT,tube
Alexandra Palace,51.59826262860595,-0.12014897136081185,3,N22 7ST,tube
All Saints,51.51047690641237,-0.01262488536034996,2,E14 0EH,tube
Alperton,51.54120878643842,-0.2995157534755783,4,HA0 4LL,tube
Amersham,51.674128328342675,-0.6065137678777907,9,HP6 5AZ,tube
Ampere Way,51.38229921988808,-0.12363679846190691,"3,4,5,6",CR0 3JX,tube
Anerley,51.41251661375114,-0.06513709987901907,4,SE20 8PY,tube
Angel,51.53296784539842,-0.10558144830378893,1,N1 8XB,tube
Angel Road,51.612420242475814,-0.04873291923914301,4,N18 3AY,tube
Archway,51.56549031545965,-0.13512157562147284,"2,3",N19 5RQ,tube
Arena,51.391522658988485,-0.058318549886912346,"3,4,5,6",SE25 4RY,tube
Arnos Grove,51.616229924551426,-0.13427021772184933,4,N11 1AN,tube
Arsenal,51.55854120559965,-0.1054999329611858,2,N5 1LP,tube
Avenue Road,51.406797904315376,-0.04944693697366336,"3,4,5,6",BR3 4NJ,tube
Baker Street,51.52312936605881,-0.15690419298618452,1,NW1 5LA,tube
Balham,51.443182314397006,-0.15268516199326135,3,SW12 9SG,tube
Bank,51.51334691914183,-0.08900012349437465,1,EC3V 3LA,tube
Banstead,51.32929277590573,-0.21313233354122454,6,SM7 1RB,tube
Barbican,51.520215126107836,-0.09772157809050226,1,EC1A 4JA,tube
Barking,51.53952124839739,0.08083161040306543,4,IG11 8TU,tube
Barking Riverside,51.5191121613515,0.11476948270172459,4,IG11 0BF,tube
Barkingside,51.58585076146283,0.08847664010592626,4,IG6 1NB,tube
Barnehurst,51.464780553326264,0.16094802394688462,6,DA7 6HQ,tube
Barnes,51.46712737869088,-0.24203305862495436,3,SW13 0LW,tube
Barnes Bridge,51.4722276417547,-0.25236261333116927,3,SW13 0NR,tube
Barons Court,51.490228334902,-0.21343014241789163,2,W14 9DP,tube
Battersea Park,51.47731808303144,-0.14812376039271144,2,SW8 4NB,tube
Battersea Power Station,51.479496343757326,-0.14200135136467834,1,SW11 8AL,tube
Bayswater,51.51211098317958,-0.18790157187820541,1,W2 4QH,tube
Beckenham Hill,51.42462603356409,-0.016495761968912667,4,SE6 3NU,tube
Beckenham Junction,51.410941601884666,-0.02570173911454748,4,BR3 1HY,tube
