LA Number,Establishment Number,URN,School Phase,Total Number of Teachers (Headcount),Total Number of Teaching Assistants (Headcount),"Total Number of Non Classroom-based School Support Staff, Excluding Auxiliary Staff (Headcount)",Total Number of Teachers (Full-Time Equivalent),Total Number of Teaching Assistants (Full-time Equivalent),"Total Number of Non Classroom-based School Support Staff, Excluding Auxiliary Staff (Full-Time Equivalent)",Pupil:     Teacher Ratio,Mean Gross FTE Salary of All Teachers (£s)
201,3614,100000,Primary,28,22,14,19.0,15.8,7.4,14.2,"£48,747"
202,2019,100008,Primary,17,9,6,16.1,8.2,6.0,20.8,"£53,687"
202,2036,100009,Primary,23,14,2,23.0,11.8,2.0,18.2,"£46,839"
202,2065,100010,Primary,24,16,9,21.8,14.7,8.0,16.1,"£47,777"
202,2078,100011,Primary,25,15,11,21.2,12.9,6.7,18.9,"£46,079"
202,2095,100012,Primary,14,17,6,13.6,10.7,4.5,15.5,"£54,515"
202,2184,100013,Primary,16,10,5,15.0,10.0,4.4,12.8,"£50,288"
202,2219,100014,Primary,13,12,3,11.5,10.2,3.0,20,"£51,211"
202,2290,100015,Primary,15,14,8,11.3,8.8,4.8,19.1,"£49,721"
202,2436,100018,Primary,28,34,9,26.8,32.3,8.4,14.4,"£48,661"
202,2438,100019,Primary,21,18,5,19.5,12.4,4.9,16.9,"£50,731"
202,2475,100020,Primary,23,35,15,20.7,27.3,14.4,21.2,"£51,702"
202,2502,100021,Primary,24,20,12,22.4,17.0,9.8,14.2,"£50,881"
202,2507,100022,Primary,28,20,7,26.3,18.3,7.0,15.5,"£50,706"
202,2603,100023,Primary,24,26,8,22.8,14.8,7.2,19.5,"£57,451"
202,2775,100025,Primary,21,30,15,19.5,21.9,8.7,22.5,"£51,151"
202,2797,100026,Primary,11,10,2,9.6,9.5,2.0,24.1,"£52,139"
202,2841,100027,Primary,13,15,6,11.6,12.1,4.7,20.3,"£52,329"
202,3323,100028,Primary,14,6,4,11.3,4.9,2.5,16.9,"£47,669"
202,3327,100029,Primary,12,16,3,11.0,14.8,2.3,19.3,"£44,680"
202,3340,100030,Primary,14,13,4,13.3,12.1,3.4,17.1,"£46,376"
202,3352,100031,Primary,15,11,5,13.2,8.1,3.8,17.6,"£42,557"
202,3359,100032,Primary,12,19,3,11.1,10.2,2.4,16.6,"£43,884"
202,3361,100033,Primary,15,11,3,12.1,9.2,3.0,17.4,"£43,448"
202,3370,100034,Primary,17,21,2,14.8,15.1,1.7,15.8,"£49,055"
202,3391,100035,Primary,22,14,4,18.1,9.0,3.1,16.7,"£47,792"
202,3398,100036,Primary,13,14,3,12.3,10.7,2.9,13.5,"£44,203"
202,3429,100039,Primary,12,6,4,11.1,4.9,3.9,15.7,"£51,403"
202,3441,100040,Primary,12,12,4,12.0,11.6,4.0,17.6,"£43,239"
202,3482,100041,Primary,11,11,7,10.1,7.1,5.3,18.5,"£45,244"
202,3517,100042,Primary,10,6,3,10.0,5.7,3.0,22.7,"£47,303"
202,3521,100043,Primary,13,10,4,12.2,9.8,4.0,16.8,"£47,662"
202,3546,100044,Primary,7,6,2,6.6,5.2,2.0,20.3,"£43,809"
202,3560,100045,Primary,14,14,5,10.5,8.7,3.6,18.5,"£45,250"
202,3568,100046,Primary,11,14,4,10.0,11.3,2.7,19.6,"£52,886"
202,3649,100047,Primary,10,5,4,10.0,5.0,3.1,20.4,"£59,418"
202,3655,100048,Primary,12,8,6,11.2,7.9,6.0,23.2,"£50,491"
202,4104,100049,Secondary,63,15,23,61.8,14.5,21.2,14.3,"£49,983"
202,4166,100050,Secondary,79,7,24,72.1,6.7,21.7,16.4,"£51,182"
202,4196,100051,Secondary,77,17,27,76.4,15.8,26.5,13.6,"£44,551"
202,4275,100052,Secondary,92,21,31,89.9,18.1,27.9,14.7,"£47,180"
202,4285,100053,Secondary,84,26,24,80.6,25.0,21.7,14.1,"£49,239"
202,4611,100054,Secondary,83,15,31,67.0,10.5,23.8,15.6,"£52,932"
202,4652,100055,Secondary,59,13,19,58.0,13.0,18.4,13.3,"£48,919"
202,4688,100056,Secondary,57,11,16,52.2,8.8,13.6,16.3,"£53,699"
202,5401,100059,Secondary,84,11,29,75.0,10.3,22.3,13.2,"£51,189"
202,7008,100091,Not applicable,7,24,4,6.6,19.8,1.8,5.5,"£50,312"
202,7137,100092,Not applicable,12,8,6,12.0,7.8,6.0,2.5,"£56,129"
202,7205,100096,Not applicable,43,103,18,43.0,96.6,17.3,6,"£43,553"
203,2028,100113,Primary,52,27,15,46.0,18.0,12.1,18.3,"£46,067"
203,2071,100114,Primary,23,24,6,21.1,18.1,5.0,19.4,"£50,332"
203,2106,100115,Primary,15,26,4,12.9,20.6,3.0,17.2,"£43,600"
203,2174,100120,Primary,24,30,11,22.2,16.7,8.5,17.9,"£47,085"
203,2228,100125,Primary,24,20,8,21.5,17.9,6.7,16.7,"£40,465"
203,2242,100126,Primary,19,18,3,17.0,12.9,3.0,17,"£49,268"
203,2258,100127,Primary,18,27,7,16.2,15.3,6.1,25.9,"£47,809"
203,2271,100129,Primary,24,21,8,22.8,17.9,5.6,14.9,"£46,662"
203,2299,100131,Primary,20,27,11,18.5,19.0,7.9,21.7,"£48,352"
203,2325,100134,Primary,42,35,15,39.7,30.5,9.6,18.4,"£42,643"
203,2353,100136,Primary,28,21,8,26.3,14.0,7.1,14.6,"£45,361"
203,2410,100137,Primary,18,14,11,14.7,9.7,5.9,15.3,"£51,732"
203,2471,100140,Primary,47,42,23,41.5,31.4,12.9,20.6,"£47,345"
203,2552,100141,Primary,20,19,4,19.4,15.2,3.6,23.3,"£35,984"
203,2598,100142,Primary,16,15,6,10.8,8.3,4.9,19.8,"£45,154"
203,2662,100146,Primary,22,33,6,19.3,24.3,4.8,21.4,"£48,793"
203,2798,100149,Primary,22,29,6,19.1,22.1,3.8,22.3,"£46,360"
203,2801,100150,Primary,26,32,6,24.7,19.0,5.5,16.2,"£45,238"
203,2813,100152,Primary,28,23,10,25.7,19.9,9.4,18.4,"£47,181"
203,2851,100154,Primary,29,26,13,26.2,13.4,8.9,18.3,"£47,130"
203,2877,100155,Primary,25,19,10,23.3,14.1,8.7,18.5,"£53,354"
203,2900,100158,Primary,44,29,29,41.1,20.6,17.7,19,"£46,908"
203,2901,100159,Primary,29,20,8,25.2,18.5,7.9,14.1,"£48,065"
203,2915,100162,Primary,15,15,4,12.1,9.0,3.7,17.6,"£48,870"
203,2916,100163,Primary,18,26,24,17.6,18.6,19.5,22.4,"£40,517"
203,2917,100164,Primary,15,19,7,15.0,13.8,6.6,28.9,"£48,095"
203,3322,100165,Primary,14,14,6,12.9,10.1,4.5,14.8,"£49,508"
203,3331,100166,Primary,10,11,6,8.6,7.9,3.9,24.4,"£50,029"
203,3338,100167,Primary,24,26,5,20.5,19.0,3.7,21.6,"£43,851"
203,3382,100168,Primary,19,18,5,15.6,13.9,3.9,22.8,"£45,820"
203,3481,100169,Primary,11,17,3,10.4,13.7,2.7,17.8,"£55,636"
203,3500,100170,Primary,21,21,10,18.0,13.6,5.0,17.6,"£46,331"
203,3526,100171,All-through,106,66,36,102.9,47.6,31.6,15.3,"£44,474"
203,3561,100173,Primary,17,11,4,15.4,10.5,3.2,21.8,"£36,123"
203,3577,100174,Primary,14,9,8,12.4,8.2,7.3,16.9,"£50,830"
203,3585,100175,Primary,10,8,4,8.8,7.3,3.1,22.8,"£41,755"
203,3604,100176,Primary,9,11,3,9.0,8.4,1.9,23.3,"£43,249"
203,3632,100177,Primary,22,31,6,20.0,20.5,4.6,19.6,"£40,220"
203,3657,100178,Primary,10,10,6,9.2,8.1,2.5,17.8,"£38,747"
203,3662,100179,Primary,10,8,5,9.4,7.1,4.3,20,"£48,645"
203,3666,100180,Primary,14,10,3,13.6,7.4,3.0,15,"£41,269"
203,3668,100181,Primary,14,13,4,13.9,9.8,3.2,14.4,"£40,526"
203,4077,100182,Secondary,80,8,32,76.1,5.8,28.6,15.2,"£51,155"
203,4130,100183,Secondary,106,34,57,96.0,29.4,40.9,15.5,"£48,583"
203,4294,100190,Secondary,138,47,49,126.9,43.3,45.2,16,"£50,548"
203,4682,100193,Secondary,42,9,15,38.6,7.5,13.3,16.8,"£46,350"
203,5200,100197,Primary,26,36,4,22.4,20.0,3.8,20.1,"£49,847"
203,7118,100204,Not applicable,11,10,6,10.0,9.8,4.6,3.6,"£60,600"
204,2048,100218,Primary,25,29,11,24.5,22.4,9.1,17.8,"£43,319"
204,2120,100221,Primary,10,9,7,9.3,6.5,6.1,19.9,"£51,399"
204,2150,100223,Primary,35,24,20,32.3,20.7,17.7,17.4,"£46,950"
204,2155,100224,Primary,10,12,6,9.8,10.3,5.2,17.4,"£49,940"
204,2238,100225,Primary,19,14,6,17.6,12.3,4.8,15,"£44,763"
204,2376,100229,Primary,28,29,8,25.5,20.0,6.5,16.4,"£48,441"
204,2388,100230,Primary,34,0,23,32.2,0.0,18.0,13.6,"£42,820"
204,2421,100231,Primary,35,37,14,33.0,31.7,12.8,19.8,"£48,404"
204,2431,100232,Primary,26,25,16,25.0,22.3,13.2,17.7,"£39,621"
204,2450,100234,Primary,36,13,16,36.0,11.5,12.8,18.4,"£36,630"
204,2487,100235,Primary,28,36,9,27.4,32.9,6.7,15.5,"£48,251"
204,2489,100236,Primary,23,15,4,21.6,13.9,4.0,13.7,"£44,980"
204,2532,100239,Primary,17,13,7,16.2,12.3,6.2,20.6,"£49,178"
204,2539,100240,Primary,26,22,8,23.0,18.5,6.8,17.6,"£51,432"
204,2545,100241,Primary,28,22,9,28.0,17.7,8.1,16.1,"£41,132"
204,2564,100242,Primary,25,17,9,25.0,15.2,7.6,15.3,"£44,128"
204,2592,100243,Primary,12,28,14,10.8,23.9,7.7,23.1,"£46,345"
204,2615,100244,Primary,22,23,11,21.0,18.3,8.9,16.1,"£51,492"
204,2636,100245,Primary,25,16,12,24.0,13.8,8.6,17.3,"£45,099"
204,2654,100248,Primary,42,29,20,42.0,24.7,13.3,15.4,"£39,198"
204,2779,100250,Primary,15,15,6,14.7,10.2,4.8,15.4,"£52,797"
204,2795,100251,Primary,26,17,8,23.3,11.0,6.8,14.4,"£47,488"
204,2856,100252,Primary,16,21,10,12.4,16.7,4.8,17.5,"£47,714"
204,2859,100253,Primary,23,29,17,22.4,19.2,10.0,18.9,"£47,700"
204,2860,100254,Primary,12,12,5,11.6,10.0,3.4,18.1,"£46,218"
204,2861,100255,Primary,11,12,7,10.6,8.9,3.9,19.2,"£48,060"
204,2862,100256,Primary,18,8,6,17.2,8.0,6.0,14.5,"£45,272"
204,2863,100257,Primary,13,15,3,11.4,9.7,2.5,18.9,"£50,964"
204,2864,100258,Primary,29,17,13,27.8,14.6,9.2,15.7,"£46,291"
204,2865,100259,Primary,14,10,4,12.4,8.7,3.6,16,"£43,291"
204,2872,100260,Primary,21,14,6,19.1,9.8,5.1,16.7,"£44,366"
204,2896,100261,Primary,17,11,8,16.4,8.8,6.5,15.5,"£45,506"
204,3358,100263,Primary,17,13,10,16.0,11.3,8.4,18.7,"£51,740"
204,3371,100264,Primary,11,10,5,10.0,7.9,4.5,20.9,"£60,738"
204,3458,100266,Primary,22,14,8,21.6,12.4,7.1,14.4,"£42,126"
204,3543,100267,Primary,13,7,3,11.6,6.4,2.9,18.8,"£45,708"
204,3553,100268,Primary,12,8,9,12.0,6.8,7.9,17.8,"£45,219"
204,3572,100269,Primary,13,8,5,12.0,5.9,3.8,16.3,"£46,471"
204,3616,100270,Primary,11,3,5,10.2,2.3,4.1,16.1,"£43,357"
204,3618,100271,Primary,13,5,2,13.0,4.6,2.0,14.2,"£43,782"
204,3659,100274,Primary,13,5,5,12.8,4.2,3.8,16.1,"£45,237"
204,3663,100275,Primary,8,10,2,7.2,6.1,1.8,15.3,"£47,566"
204,4283,100277,Secondary,82,9,30,78.7,8.0,25.0,12.9,"£46,860"
204,4310,100279,Secondary,122,33,47,118.3,27.4,40.7,14.1,"£45,791"
204,4641,100282,Secondary,63,6,18,59.2,6.0,17.5,12.4,"£49,056"
204,4697,100284,Secondary,62,10,12,61.3,8.2,11.7,14.4,"£52,094"
204,4714,100285,Secondary,72,7,23,70.1,7.0,22.1,15,"£50,726"
204,7097,100307,Not applicable,23,15,12,18.2,12.5,11.6,7.5,"£56,907"
204,7161,100311,Not applicable,26,82,8,26.0,79.8,7.8,5.7,"£47,225"
204,7171,100312,Not applicable,24,53,4,22.7,43.8,4.0,5.7,"£46,063"
205,2002,100321,Primary,17,21,5,16.1,18.6,3.5,19.3,"£47,712"
205,2026,100322,Primary,13,18,3,12.8,15.2,2.6,16.6,"£45,737"
205,2061,100324,Primary,23,14,6,22.5,11.3,5.9,17.2,"£49,185"
205,2134,100326,Primary,16,15,5,15.4,12.7,4.6,14.7,"£50,570"
205,2223,100328,Primary,16,6,4,15.4,6.0,4.0,14.3,"£44,524"
205,2350,100331,Primary,14,10,3,11.8,7.6,2.8,18.2,"£51,537"
205,2408,100334,Primary,19,22,19,17.6,13.6,12.0,15.9,"£48,002"
205,2444,100335,Primary,16,18,9,13.6,11.4,8.7,18.4,"£51,380"
205,2555,100338,Primary,16,13,11,15.2,7.8,9.6,19.5,"£45,617"
205,2632,100340,Primary,27,10,7,24.6,7.5,6.0,16.6,"£49,714"
205,2660,100341,Primary,24,14,7,23.4,10.8,6.1,15.9,"£46,194"
205,3300,100344,Primary,10,9,6,9.1,5.5,5.2,23.8,"£48,643"
205,3354,100345,Primary,34,28,6,30.5,22.7,6.0,20.4,"£46,354"
205,3368,100346,Primary,13,10,4,10.8,6.5,2.3,19,"£47,674"
205,3378,100347,Primary,13,9,4,11.5,6.5,2.7,18,"£45,649"
205,3463,100349,Primary,20,16,6,20.0,10.6,4.9,18.4,"£44,575"
205,3529,100350,Primary,14,16,7,9.9,12.7,5.2,19.1,"£52,050"
205,3566,100351,Primary,13,19,6,12.0,14.2,3.4,15.7,"£48,920"
205,3578,100352,Primary,11,15,5,9.7,9.2,4.5,21,"£48,624"
205,3600,100353,Primary,23,25,6,20.4,18.2,5.0,21.5,"£51,247"
205,3602,100354,Primary,12,6,5,11.4,4.0,4.0,18.5,"£47,841"
205,3645,100355,Primary,21,15,3,19.0,12.7,3.0,17.3,"£46,067"
205,3648,100357,Primary,12,7,8,10.6,6.4,4.9,19.1,"£44,545"
205,7014,100378,Not applicable,50,139,18,49.2,130.0,11.8,5.1,"£43,000"
205,7153,100379,Not applicable,19,18,4,18.8,15.9,3.4,5.6,"£56,936"
205,7203,100381,Not applicable,17,33,5,15.7,27.6,5.0,4.5,"£52,752"
205,7204,100382,Not applicable,12,23,7,11.8,20.7,6.3,9.9,"£55,122"
206,2015,100397,Primary,23,14,22,21.9,12.0,19.7,21.9,"£44,882"
206,2128,100401,Primary,9,6,7,9.0,5.6,5.7,17.8,"£44,825"
206,2166,100402,Primary,17,17,6,16.5,12.5,5.0,17.2,"£49,627"
206,2170,100403,Primary,26,10,8,24.6,9.2,7.4,15.7,"£39,568"
206,2251,100405,Primary,16,11,5,14.3,9.6,3.6,15.6,"£52,606"
206,2261,100406,Primary,26,34,16,23.2,20.6,8.5,19.1,"£50,141"
206,2279,100407,Primary,20,11,5,18.3,7.3,3.8,17.3,"£47,583"
206,2282,100408,Primary,16,17,17,16.0,16.7,16.1,21.4,"£44,349"
206,2379,100411,Primary,37,21,5,35.6,18.2,5.0,10.8,"£46,551"
206,2429,100415,Primary,22,11,8,20.4,9.0,7.6,17,"£50,258"
206,2455,100418,Primary,21,16,14,18.4,10.9,10.4,16.2,"£47,276"
206,2515,100422,Primary,12,6,16,12.0,5.7,14.9,18.3,"£52,318"
206,2596,100425,Primary,22,17,5,21.6,15.4,5.0,20.7,"£48,463"
206,2624,100426,Primary,11,12,7,10.1,7.6,4.6,17.1,"£46,646"
206,2646,100428,Primary,17,9,10,16.1,8.2,9.8,15.2,"£46,568"
206,2666,100429,Primary,20,16,4,17.6,14.8,3.9,25.7,"£47,185"
206,2803,100430,Primary,23,11,12,20.6,9.5,8.1,18.2,"£43,850"
206,2805,100431,Primary,15,14,11,14.7,11.4,10.6,20,"£43,978"
206,2809,100432,Primary,26,15,7,24.7,14.0,7.0,17.5,"£46,755"
206,2850,100434,Primary,17,32,18,17.0,29.3,14.6,21,"£47,335"
206,3384,100437,Primary,26,23,4,25.2,17.7,3.6,18.3,"£51,189"
206,3456,100438,Primary,18,15,4,17.6,10.9,4.0,16.3,"£47,430"
206,3465,100439,Primary,11,14,13,11.0,10.3,4.2,19.8,"£41,087"
206,3471,100440,Primary,7,6,2,6.9,4.8,2.0,29.6,"£42,287"
206,3483,100441,Primary,23,15,11,22.4,13.4,6.9,20.3,"£46,344"
206,3488,100442,Primary,9,6,5,9.0,4.5,3.6,18.1,"£45,900"
206,3495,100443,Primary,14,14,7,12.3,10.4,4.9,18.3,"£52,416"
206,3501,100444,Primary,12,16,5,11.8,14.8,4.4,18.8,"£46,601"
206,3527,100446,Primary,11,9,1,10.6,7.2,1.0,16.9,"£44,530"
206,3575,100447,Primary,12,9,3,11.2,7.0,3.0,19.9,"£47,901"
206,3606,100448,Primary,10,9,6,9.4,8.3,3.0,21.4,"£51,947"
206,3631,100449,Primary,21,15,8,20.1,10.5,6.1,22.4,"£51,531"
206,3633,100450,Primary,18,13,6,17.5,10.7,5.7,16.6,"£47,330"
206,3643,100451,Primary,8,8,4,7.4,5.9,4.0,18.8,"£53,514"
206,4112,100453,Secondary,39,11,15,37.8,10.6,13.4,11.2,"£53,808"
206,4307,100455,Secondary,60,7,12,57.8,6.2,11.4,13.4,"£50,187"
206,4324,100457,Secondary,67,10,27,64.8,9.5,23.4,13.8,"£55,890"
206,4614,100458,Secondary,75,10,9,72.7,8.8,8.2,14.2,"£48,699"
206,4651,100459,Secondary,61,5,16,59.6,5.0,13.3,11.9,"£54,021"
206,7030,100467,Not applicable,21,48,10,19.2,40.6,8.3,4.5,"£54,511"
206,7146,100469,Not applicable,29,16,10,25.4,14.5,10.0,4.9,"£46,929"
207,2021,100477,Primary,16,16,2,14.3,14.4,2.0,14.6,"£46,678"
207,2030,100478,Primary,31,25,5,29.0,20.1,5.0,11.8,"£43,724"
207,2050,100479,Primary,19,22,4,19.0,17.8,3.9,17.3,"£45,420"
207,2060,100480,Primary,27,28,9,24.1,18.0,6.9,18,"£44,192"
207,2121,100481,Primary,24,23,16,23.1,16.6,11.5,20.2,"£51,503"
207,2229,100482,Primary,27,29,7,22.9,26.7,6.6,17.1,"£51,809"
207,2399,100483,Primary,24,35,4,22.7,29.9,3.9,15.6,"£45,471"
207,2452,100485,Primary,21,18,10,19.1,15.8,8.9,16.4,"£52,636"
207,2456,100486,Primary,13,13,6,12.5,12.5,5.2,13.9,"£44,243"
207,2538,100487,Primary,23,18,5,21.8,15.2,4.6,15,"£49,582"
207,2594,100488,Primary,14,20,5,12.3,11.3,2.5,19,"£49,207"
207,3321,100489,Primary,17,11,4,15.3,8.6,3.4,13.4,"£46,184"
207,3356,100490,Primary,9,16,5,8.6,10.0,3.1,20.9,"£36,465"
207,3379,100491,Primary,14,7,3,10.2,5.6,1.9,20.6,"£49,110"
207,3402,100492,Primary,15,16,7,13.5,12.6,4.1,16.1,"£56,975"
207,3417,100493,Primary,10,13,1,10.0,8.1,1.0,19.9,"£45,251"
207,3437,100494,Primary,18,18,7,16.0,14.6,6.1,12.9,"£50,213"
207,3455,100495,Primary,12,11,6,10.4,10.0,3.0,16.4,"£52,909"
207,3477,100496,Primary,13,5,11,12.6,4.7,7.5,17,"£53,250"
207,3504,100497,Primary,11,10,4,10.2,5.1,4.0,18.6,"£47,097"
207,3541,100498,Primary,12,11,4,9.4,9.6,3.0,19.3,"£39,913"
207,3542,100499,Primary,16,18,6,14.1,13.7,4.7,16.8,"£41,514"
207,3613,100500,Primary,12,15,6,10.2,10.0,5.8,22.4,"£59,057"
207,4681,100502,Secondary,40,2,21,39.0,2.0,20.4,16.4,"£51,677"
207,4801,100503,Secondary,45,14,14,43.4,12.4,12.7,13.5,"£49,048"
207,5200,100504,Primary,12,7,6,10.2,6.1,5.0,17.6,"£48,533"
207,5201,100505,Primary,20,20,3,17.6,11.9,2.4,15,"£49,064"
208,2022,100556,Primary,17,8,5,12.1,7.7,4.4,19.4,"£55,855"
208,2115,100560,Primary,19,26,19,17.6,20.0,15.3,24.2,"£47,407"
208,2265,100564,Primary,33,23,9,32.6,17.9,8.5,18.7,"£49,412"
208,2292,100566,Primary,26,7,6,24.0,7.0,5.0,14.8,"£49,426"
208,2295,100567,Primary,53,42,26,47.7,29.7,18.0,17.2,"£44,516"
208,2331,100572,Primary,20,26,9,19.1,24.2,9.0,19.6,"£40,533"
208,2359,100574,Primary,48,55,18,47.1,46.5,17.9,14.6,"£47,584"
208,2371,100576,Primary,31,27,8,30.0,23.7,7.2,11.7,"£49,073"
208,2459,100577,Primary,26,27,4,24.4,23.4,4.0,21.1,"£45,737"
208,2504,100578,Primary,15,15,4,14.6,13.7,3.1,20.7,"£50,879"
208,2902,100582,Primary,31,32,27,29.9,30.2,22.5,17.8,"£39,484"
208,2575,100584,Primary,18,13,9,17.0,10.2,7.4,18.7,"£51,064"
208,2578,100585,Primary,23,14,12,20.2,8.4,9.8,19.6,"£51,434"
208,2591,100586,Primary,25,25,6,23.2,20.8,5.4,17.8,"£44,240"
208,2617,100588,Primary,18,19,7,15.4,12.8,5.1,14.6,"£47,130"
208,2626,100589,Primary,18,14,6,15.5,10.8,5.0,19.7,"£43,197"
208,2657,100590,All-through,82,40,26,71.5,39.2,25.1,17.6,"£46,476"
208,2664,100591,Primary,44,43,13,39.3,36.1,10.8,12.7,"£52,775"
208,2783,100593,Primary,21,18,11,20.2,15.7,7.4,16.9,"£52,186"
208,2785,100595,Primary,23,36,3,22.5,32.9,3.0,17.5,"£45,522"
208,2794,100597,Primary,24,26,3,21.4,23.5,3.0,19.3,"£48,478"
208,2808,100598,Primary,21,21,7,20.4,18.4,6.9,17.3,"£45,627"
208,2836,100601,Primary,12,15,5,11.5,11.2,4.1,14.4,"£47,033"
208,5209,100602,Primary,56,34,11,55.6,30.8,10.8,17.6,"£44,540"
208,2868,100604,Primary,13,6,5,12.7,5.0,5.0,16.7,"£53,150"
208,2895,100608,Primary,12,14,7,11.6,9.8,4.0,19.4,"£52,419"
208,3307,100609,Primary,25,25,6,23.4,21.3,5.9,16.4,"£42,032"
208,3324,100610,Primary,12,14,4,12.0,11.9,4.0,16.1,"£48,658"
208,3375,100612,Primary,14,10,4,10.8,7.5,3.3,17.2,"£42,689"
208,3403,100613,Primary,13,14,5,11.0,12.8,4.2,17.8,"£47,307"
208,3457,100614,Primary,16,6,3,13.8,6.0,2.6,12.5,"£44,626"
208,3466,100615,Primary,12,10,5,10.2,9.8,4.5,20.9,"£55,823"
208,3491,100616,Primary,11,6,2,10.6,6.0,1.1,18.8,"£47,006"
208,3502,100619,Primary,14,11,5,12.8,9.9,4.1,16.9,"£47,842"
208,3589,100620,Primary,15,12,17,10.6,8.8,6.8,18.1,"£46,720"
208,3596,100621,Primary,10,11,3,9.6,10.7,3.0,21.9,"£49,337"
208,3621,100622,Primary,16,17,6,15.2,14.4,4.6,17.8,"£46,698"
208,3641,100623,Primary,17,4,3,16.8,3.9,3.0,16.7,"£46,169"
208,4223,100624,Secondary,76,11,17,73.0,10.8,16.9,14.3,"£49,827"
208,4321,100625,Secondary,54,25,21,54.0,24.1,21.0,15.5,"£49,695"
208,4509,100627,Secondary,41,17,21,39.0,15.0,19.7,15,"£49,584"
208,5200,100628,Primary,17,10,4,12.4,8.4,3.1,17.6,"£53,194"
208,5201,100629,Primary,21,41,3,20.0,13.4,2.6,16.9,"£49,749"
208,5203,100631,Primary,10,12,4,7.8,10.9,2.9,18.2,"£53,116"
208,5204,100632,Primary,22,19,3,20.8,17.4,2.6,19.5,"£47,147"
208,5205,100633,Primary,24,20,12,22.5,16.5,10.7,18.8,"£45,825"
208,5206,100634,Primary,15,15,3,11.8,13.3,3.0,19.5,"£54,814"
208,5208,100636,Primary,21,15,3,18.6,10.7,3.0,17,"£50,280"
208,5400,100637,Secondary,76,15,32,70.4,11.9,28.5,15.3,"£51,462"
208,5401,100638,Secondary,101,18,21,95.9,14.6,18.5,12.5,"£53,784"
208,5405,100642,Secondary,51,20,14,49.2,18.7,12.6,13.4,"£50,141"
208,5950,100643,Not applicable,24,33,5,23.0,33.0,3.5,5.7,"£54,716"
208,7001,100654,Not applicable,23,15,5,21.7,13.9,4.1,6.4,"£51,982"
208,7115,100659,Not applicable,18,20,7,16.8,17.8,7.0,8.6,"£47,078"
209,2000,100671,Primary,26,20,21,25.4,16.1,14.4,18.8,"£44,920"
209,2023,100672,Primary,31,43,8,27.3,31.2,5.3,15.3,"£47,342"
209,2029,100673,Primary,14,15,5,10.6,9.1,4.8,21,"£53,125"
209,2068,100674,Primary,30,34,19,26.7,23.3,11.4,15.5,"£44,110"
209,2127,100676,Primary,34,36,23,28.6,24.9,16.7,22.6,"£48,234"
209,2148,100677,Primary,26,16,16,22.9,10.7,8.8,16.4,"£43,162"
209,2158,100678,Primary,27,37,10,25.1,23.8,9.7,18,"£52,400"
209,2163,100679,Primary,28,28,11,27.0,16.3,10.2,16.7,"£43,880"
209,2187,100680,Primary,26,14,10,21.4,10.3,9.7,19.2,"£47,289"
209,2197,100681,Primary,28,29,8,23.8,18.3,4.9,16.6,"£48,893"
209,2225,100683,Primary,30,35,22,26.7,27.9,10.9,17.3,"£52,092"
209,2259,100684,Primary,31,29,10,27.7,17.4,7.8,22.1,"£49,337"
209,2267,100685,Primary,11,11,9,10.9,8.2,6.5,19.3,"£43,503"
209,2289,100686,Primary,24,31,9,19.3,16.4,6.0,21.9,"£57,229"
209,2304,100687,Primary,41,16,17,36.7,14.2,17.0,17.5,"£46,519"
209,2307,100688,Primary,29,24,14,24.7,15.9,10.0,19.6,"£53,409"
209,2342,100689,Primary,21,11,9,18.8,7.6,8.4,20.9,"£46,381"
209,2347,100690,Primary,39,41,8,33.7,34.6,6.4,18.6,"£48,770"
209,2349,100691,Primary,23,14,8,21.0,13.3,5.9,18.9,"£51,030"
209,2374,100692,Primary,20,22,6,18.4,15.2,4.6,20.1,"£48,845"
209,2381,100693,Primary,26,18,11,22.3,16.5,9.8,20.1,"£47,248"
209,2390,100695,Primary,20,10,7,18.6,9.3,6.2,17.7,"£41,947"
209,2403,100696,Primary,21,31,7,18.5,19.2,5.4,19.8,"£50,740"
209,2491,100699,Primary,22,23,16,19.7,18.6,7.4,19.7,"£48,565"
209,2493,100700,Primary,28,39,16,26.0,28.5,9.7,18.7,"£43,733"
209,2529,100701,Primary,34,27,15,31.1,20.6,11.8,18.6,"£47,314"
209,2536,100703,Primary,36,37,15,32.7,22.0,10.9,19.6,"£50,503"
209,2570,100704,Primary,19,7,5,16.6,5.4,3.8,18.3,"£43,542"
209,2571,100705,Primary,17,21,3,14.1,11.3,2.5,20.3,"£47,681"
209,2606,100708,Primary,39,27,10,35.3,24.3,5.8,18,"£48,510"
209,2782,100709,Primary,34,22,11,28.7,18.6,7.9,21.5,"£44,618"
209,2811,100710,Primary,21,21,7,16.7,15.3,4.9,25.2,"£56,359"
209,2815,100711,Primary,24,18,7,20.9,12.0,5.2,20.1,"£52,540"
209,2818,100712,Primary,16,11,5,14.1,8.5,4.3,17.2,"£47,361"
209,2869,100713,Primary,24,27,15,20.2,15.4,11.3,20.6,"£50,993"
209,2870,100714,Primary,14,18,26,12.4,8.0,7.3,18.2,"£46,088"
209,2871,100715,Primary,13,16,4,11.9,12.0,3.6,17.5,"£47,356"
209,2878,100716,Primary,17,14,5,16.2,10.5,5.0,18.5,"£41,534"
209,2887,100717,Primary,14,8,4,11.9,7.6,4.0,19.1,"£53,736"
