LA Number,Establishment Number,URN,School Phase,Total Number of Teachers (Headcount),Total Number of Teaching Assistants (Headcount),"Total Number of Non Classroom-based School Support Staff, Excluding Auxiliary Staff (Headcount)",Total Number of Teachers (Full-Time Equivalent),Total Number of Teaching Assistants (Full-time Equivalent),"Total Number of Non Classroom-based School Support Staff, Excluding Auxiliary Staff (Full-Time Equivalent)",Pupil:     Teacher Ratio,Mean Gross FTE Salary of All Teachers (£s)
302,4215,136418,Secondary,98,17,40,94.0,14.7,37.8,14.3,"£46,475"
825,4504,136419,Secondary,80,11,51,71.2,5.6,40.8,19.2,"£46,828"
871,5408,136420,Secondary,52,4,15,47.3,3.7,14.3,22.7,"£45,220"
342,4803,136421,Secondary,74,18,24,71.2,15.4,21.9,18,"£42,677"
209,7183,136423,Not applicable,37,89,12,34.3,80.5,10.9,6.1,"£52,423"
356,3530,136430,Primary,21,24,4,19.4,21.7,3.7,26.5,"£37,256"
301,3507,136431,Primary,34,36,14,32.3,32.1,11.8,20,"£53,751"
353,4608,136432,Secondary,95,33,38,90.0,25.7,36.7,16.6,"£39,537"
894,2181,136439,Primary,20,32,9,17.9,23.1,6.9,24,"£37,722"
330,3436,136440,Primary,12,6,4,10.8,5.5,3.8,15.1,"£39,094"
881,3832,136441,Primary,14,18,7,13.0,11.7,4.0,19.9,"£38,691"
873,5416,136442,Secondary,54,18,41,47.0,12.2,23.2,18.4,"£42,495"
882,5446,136443,Secondary,77,12,32,70.8,7.9,26.1,18.6,"£41,494"
882,5428,136444,Secondary,76,1,33,66.1,0.5,25.3,17.9,"£43,913"
307,3513,136445,Primary,46,17,26,43.6,14.7,14.2,20.2,"£45,322"
